iter	Passed	Remaining
405	8189	22067
406	8210	22049
407	8231	22031
408	8254	22017
409	8274	21997
410	8297	21986
411	8320	21973
412	8341	21953
413	8362	21935
414	8386	21925
415	8407	21907
416	8429	21891
417	8449	21872
418	8469	21851
419	8488	21828
420	8507	21805
421	8529	21789
422	8551	21773
423	8577	21766
424	8599	21750
425	8619	21731
426	8642	21717
427	8662	21696
428	8683	21678
429	8704	21659
430	8733	21662
431	8753	21640
432	8775	21623
433	8793	21598
434	8814	21579
435	8842	21578
436	8862	21557
437	8883	21538
438	8905	21522
439	8924	21499
440	8944	21479
441	8965	21460
442	8985	21438
443	9006	21421
444	9028	21404
445	9049	21386
446	9070	21366
447	9091	21348
448	9112	21330
449	9131	21307
450	9153	21289
451	9172	21266
452	9192	21246
453	9212	21225
454	9234	21209
455	9264	21210
456	9284	21188
457	9303	21166
458	9322	21143
459	9347	21133
460	9367	21113
461	9388	21093
462	9408	21072
463	9429	21053
464	9448	21029
465	9467	21006
466	9488	20987
467	9508	20966
468	9527	20944
469	9546	20920
470	9566	20899
471	9586	20879
472	9605	20856
473	9627	20838
474	9647	20817
475	9665	20792
476	9684	20769
477	9705	20750
478	9727	20733
479	9746	20710
480	9769	20697
481	9790	20678
482	9810	20656
483	9830	20635
484	9848	20610
485	9875	20603
486	9894	20581
487	9912	20556
488	9932	20535
489	9950	20509
490	9968	20484
491	9988	20464
492	10006	20439
493	10024	20414
494	10041	20388
495	10059	20362
496	10076	20335
497	10093	20309
498	10111	20283
499	10128	20257
500	10145	20230
501	10163	20204
502	10181	20180
503	10198	20155
504	10215	20128
505	10235	20107
506	10253	20082
507	10271	20057
508	10294	20043
509	10312	20018
510	10329	19992
511	10348	19969
512	10367	19946
513	10390	19931
514	10409	19909
515	10426	19883
516	10444	19858
517	10461	19833
518	10479	19808
519	10497	19783
520	10513	19756
521	10531	19731
522	10550	19708
523	10567	19682
524	10585	19658
525	10602	19632
526	10620	19609
527	10638	19584
528	10656	19560
529	10674	19535
530	10692	19513
531	10710	19488
532	10728	19463
533	10746	19440
534	10768	19423
535	10791	19409
536	10813	19391
537	10833	19370
538	10852	19348
539	10872	19328
540	10892	19308
541	10918	19298
542	10936	19274
543	10953	19248
544	10970	19223
545	10988	19199
546	11010	19182
547	11028	19159
548	11046	19135
549	11065	19113
550	11082	19088
551	11101	19066
552	11120	19043
553	11137	19018
554	11155	18994
555	11173	18970
556	11190	18945
557	11207	18920
558	11226	18898
559	11244	18874
560	11262	18851
561	11279	18826
562	11297	18803
563	11316	18779
564	11343	18772
565	11361	18748
566	11382	18729
567	11401	18708
568	11420	18686
569	11443	18671
570	11462	18648
571	11480	18626
572	11499	18604
573	11519	18583
574	11538	18561
575	11557	18539
576	11576	18518
577	11599	18502
578	11618	18481
579	11637	18459
580	11656	18437
581	11675	18415
582	11695	18396
583	11715	18375
584	11734	18353
585	11753	18331
586	11772	18310
587	11791	18288
588	11813	18271
589	11835	18254
590	11857	18237
591	11874	18212
592	11892	18189
593	11910	18166
594	11928	18144
595	11947	18121
596	11966	18099
597	11984	18076
598	12003	18055
599	12023	18035
600	12041	18012
601	12059	17989
602	12077	17965
603	12094	17941
604	12111	17917
605	12129	17893
606	12146	17870
