locality,property_type,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_population_density,lat,lon,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km,post_month,post_day_of_month,post_weekday,post_is_weekend,post_age_days,locality_listing_count,location_cluster_20,location_cluster_50,location_cluster_100,price_per_m2,property_type_area_m2,property_type_road_width_m,property_type_width_m,property_type_length_m,property_type_num_floors,property_type_distance_to_center_km,property_type_locality_population_density
phường bảy hiền,1,4.0,4.0,35.0,8.0,37.0,52000000000.0,304.0,0,0,0,0,46.242,10.7931438,106.6517919,5.663340741505686,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,2.789766515743807,0.0,6,10,2,0,10,73,cluster_13,cluster_1,cluster_68,171052631.57894737,304.0,35.0,8.0,37.0,4.0,5.663340741505686,46.242
phường xuân hòa,1,2.0,8.0,30.0,5.0,18.0,500000000000.0,816.0,0,0,0,0,21.831,10.8735232,106.8022064,15.393235082061002,0.3867559783659853,22.0,0.8596362622296551,10.0,0.7769995593581263,3.0,0.6430771394949081,2.0,2.6711640930473792,1.0,0.0144011546050566,37.0,0.8066791793236514,4.0,6,10,2,0,10,99,cluster_4,cluster_44,cluster_76,612745098.0392157,816.0,30.0,5.0,18.0,2.0,15.393235082061002,21.831
phường bình tây,1,4.0,4.0,6.0,4.7,15.0,4100000000.0,70.0,0,0,0,0,60.279,10.7508655,106.6530793,5.970700303605756,0.1924197960283857,182.0,0.8182903068587544,67.0,0.2140813915979963,43.0,0.7484065514244114,26.0,0.4514295837049246,6.0,0.0578438960653726,63.0,2.789766515743807,0.0,6,10,2,0,10,4,cluster_2,cluster_37,cluster_46,58571428.571428575,70.0,6.0,4.7,15.0,4.0,5.970700303605756,60.279
phường diên hồng,1,4.0,5.0,4.0,3.0,10.0,6900000000.0,29.0,0,0,0,0,40.663,10.7578236,106.6659089,4.370228574489283,0.0955705753485068,206.0,0.1150888925261856,81.0,0.6282825210251768,52.0,0.4252140092931471,51.0,0.3993011928725213,11.0,0.1348810061078803,90.0,3.78649852564279,2.0,6,10,2,0,10,72,cluster_2,cluster_10,cluster_3,237931034.4827586,29.0,4.0,3.0,10.0,4.0,4.370228574489283,40.663
phường minh phụng,1,4.0,6.0,8.0,4.8,14.5,4100000000.0,67.0,0,0,0,0,71.502,10.7578888,106.6544521,5.4981550614595305,0.3204995810511588,207.0,0.5868423168400075,76.0,0.3265487813943404,56.0,0.799803845128039,30.0,0.4132707628110579,5.0,0.0904268144777127,79.0,4.964989669818176,1.0,6,10,2,0,10,15,cluster_2,cluster_10,cluster_46,61194029.85074627,67.0,8.0,4.8,14.5,4.0,5.4981550614595305,71.502
phường chợ quán,1,2.0,4.0,5.0,5.0,16.8,4770000000.0,81.0,0,0,0,0,49.645,10.7546957,106.6849182,3.014593454140083,0.3241044718172312,169.0,0.3112080841955486,82.0,0.159361009708267,44.0,0.7452963371051138,87.0,1.0997159326303276,20.0,0.1351310290030301,57.0,2.2897201696442395,3.0,6,10,2,0,10,38,cluster_11,cluster_42,cluster_31,58888888.88888889,81.0,5.0,5.0,16.8,2.0,3.014593454140083,49.645
phường tân định,1,3.0,4.0,8.0,6.0,13.4,5380000000.0,80.0,1,1,1,1,39.45,10.7911838,106.6923819,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,6,10,2,0,10,97,cluster_19,cluster_22,cluster_28,67250000.0,80.0,8.0,6.0,13.4,3.0,1.8341731692460648,39.45
phường bến thành,1,6.0,12.0,30.0,4.0,16.0,52000000000.0,350.0,0,0,0,0,38.809,10.7697658,106.6968854,0.9030639858522528,0.1764317325313514,146.0,0.3786499075275946,88.0,0.3340491056014009,40.0,0.0243052720372051,101.0,0.3829654363777388,19.0,0.0311660268603045,104.0,0.1703670445237422,5.0,6,10,2,0,10,95,cluster_11,cluster_43,cluster_35,148571428.57142857,350.0,30.0,4.0,16.0,6.0,0.9030639858522528,38.809
phường phú nhuận,1,4.0,6.0,25.0,5.0,18.0,83000000000.0,636.0,0,0,0,0,46.863,10.7978431,106.674643,3.689531835435336,0.4288570629001585,154.0,0.3118117616331108,76.0,0.5711071626172188,19.0,0.2563639381331828,53.0,1.9454943767766408,6.0,0.1553122603368634,47.0,3.900284792001561,4.0,6,10,2,0,10,89,cluster_19,cluster_16,cluster_58,130503144.65408805,636.0,25.0,5.0,18.0,4.0,3.689531835435336,46.863
phường an đông,1,4.0,10.0,30.0,8.2,21.0,68000000000.0,150.0,1,1,1,1,61.537,10.7584265,106.6727204,3.697926043243007,0.1718438296278109,193.0,0.0808248175898799,81.0,0.0685624175584255,51.0,0.0700867890565216,70.0,0.0913558508966055,13.0,0.1041175126627032,91.0,3.0810228719302075,3.0,6,10,2,0,10,53,cluster_2,cluster_10,cluster_3,453333333.3333333,150.0,30.0,8.2,21.0,4.0,3.697926043243007,61.537
phường hạnh thông,1,2.0,5.0,8.0,5.0,16.0,3960000000.0,74.0,1,1,1,1,38.239,10.8237753,106.6849915,5.46912316211403,0.1755650750818743,64.0,0.5239478647461463,29.0,0.2455413210050974,9.0,0.5342557500688416,21.0,0.5562563546935235,7.0,0.1171643981009367,51.0,4.531780440683517,1.0,6,10,2,0,10,54,cluster_1,cluster_31,cluster_37,53513513.51351351,74.0,8.0,5.0,16.0,2.0,5.46912316211403,38.239
phường tân hòa,1,3.0,6.0,7.0,5.2,13.0,4360000000.0,68.0,0,0,0,0,63.563,10.782212,106.6527744,5.296094010010538,0.3293909178795859,190.0,0.7484597010440791,73.0,0.3425126883551349,36.0,0.6680584419698719,40.0,2.0515685369722894,3.0,0.2067801056731984,29.0,5.088364417881627,1.0,6,10,2,0,10,30,cluster_13,cluster_29,cluster_26,64117647.058823526,68.0,7.0,5.2,13.0,3.0,5.296094010010538,63.563
phường sài gòn,1,4.0,4.0,6.0,6.7,14.0,6200000000.0,93.0,0,0,0,0,15.468,10.7803088,106.7054885,0.6277042037044096,0.4752517013792162,114.0,0.3183914802084917,68.0,0.915369003541698,22.0,0.3312733645976148,97.0,0.690744449731313,15.0,0.0895344751277696,68.0,0.3523202858879943,7.0,6,10,2,0,10,53,cluster_19,cluster_43,cluster_0,66666666.666666664,93.0,6.0,6.7,14.0,4.0,0.6277042037044096,15.468
phường bàn cờ,1,5.0,6.0,30.0,6.0,11.0,6690000000.0,66.0,1,1,1,1,68.299,10.7727914,106.688564,1.4236699663337584,0.1008944875666734,173.0,0.3035788053231241,86.0,0.4773062638854318,46.0,0.3947019809617943,113.0,0.604291039900539,18.0,0.0891303616822696,90.0,1.0394068894087325,5.0,6,10,2,0,10,44,cluster_11,cluster_20,cluster_99,101363636.36363636,66.0,30.0,6.0,11.0,5.0,1.4236699663337584,68.299
phường tân hưng,1,2.0,4.0,6.0,5.0,11.6,3950000000.0,58.0,0,0,0,0,17.995,10.7429519,106.7033063,3.764312728013464,0.2360260451499563,97.0,0.4736105969004009,67.0,0.3171627427461208,16.0,0.1859919409307253,56.0,1.4402946693934526,5.0,0.1990206872568495,36.0,3.153107751463492,3.0,6,10,2,0,10,53,cluster_11,cluster_3,cluster_88,68103448.27586207,58.0,6.0,5.0,11.6,2.0,3.764312728013464,17.995
phường tân định,1,3.0,5.0,6.0,8.0,20.0,6090000000.0,160.0,0,0,1,1,39.45,10.7911838,106.6923819,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,6,10,2,0,10,97,cluster_19,cluster_22,cluster_28,38062500.0,160.0,6.0,8.0,20.0,3.0,1.8341731692460648,39.45
phường hiệp bình,1,4.0,4.0,6.0,4.0,15.0,7900000000.0,52.0,1,1,1,1,13.469,10.8584425,106.7233268,9.34716233130603,0.1521961750599395,23.0,1.4315280024821837,8.0,0.5794223263858904,3.0,1.240924772029185,6.0,3.386619312596045,0.0,0.0454686379845107,14.0,2.789766515743807,0.0,6,10,2,0,10,40,cluster_0,cluster_23,cluster_14,151923076.92307693,52.0,6.0,4.0,15.0,4.0,9.34716233130603,13.469
phường an hội đông,1,2.0,2.0,12.0,4.2,24.0,9900000000.0,100.0,1,1,0,1,34.553,10.8544854,106.661337,9.610839906253789,0.0506350961840065,59.0,1.988654967421979,9.0,0.5851174066101005,6.0,0.9285346601064232,7.0,3.024858762472106,1.0,0.1791539231086523,31.0,2.789766515743807,0.0,6,10,2,0,10,22,cluster_17,cluster_19,cluster_87,99000000.0,100.0,12.0,4.2,24.0,2.0,9.610839906253789,34.553
phường tân hưng,1,3.0,4.0,6.0,4.0,20.0,3250000000.0,80.0,0,0,1,1,17.995,10.7407425,106.6985001,4.008093297011413,0.2680465501888464,102.0,0.1475899400406389,67.0,0.8599180478435137,18.0,0.4467751131948497,53.0,1.3099252885889177,6.0,0.2719928824366653,22.0,3.341878836737862,3.0,6,10,2,0,10,53,cluster_11,cluster_3,cluster_88,40625000.0,80.0,6.0,4.0,20.0,3.0,4.008093297011413,17.995
phường tân định,1,4.0,5.0,5.0,4.0,18.0,5380000000.0,72.0,0,0,0,0,39.45,10.7911838,106.6923819,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,6,10,2,0,10,97,cluster_19,cluster_22,cluster_28,74722222.22222222,72.0,5.0,4.0,18.0,4.0,1.8341731692460648,39.45
phường minh phụng,1,3.0,4.0,6.0,4.0,14.0,3290000000.0,56.0,0,0,1,1,71.502,10.7618427,106.6587582,4.900812964372645,0.1332499124197248,216.0,0.4897450459678438,78.0,0.3167636023806358,56.0,0.3748269937301162,34.0,0.8098316786329234,9.0,0.1345209311638022,69.0,4.396130561461806,2.0,6,10,2,0,10,15,cluster_2,cluster_10,cluster_46,58750000.0,56.0,6.0,4.0,14.0,3.0,4.900812964372645,71.502
phường chợ lớn,1,5.0,4.0,7.0,4.0,16.0,3900000000.0,64.0,0,0,0,0,50.938,10.7527229,106.660007,5.211147240599507,0.0448837526808615,192.0,0.1352890741280146,76.0,0.3130113778004277,51.0,0.4491916881533389,30.0,0.4629546328544709,9.0,0.050319660745991,68.0,4.607163360677046,1.0,6,10,2,0,10,21,cluster_2,cluster_10,cluster_46,60937500.0,64.0,7.0,4.0,16.0,5.0,5.211147240599507,50.938
phường cầu ông lãnh,1,4.0,4.0,30.0,18.5,23.5,285000000000.0,431.0,0,0,0,0,49.209,10.7586762,106.6871256,2.5165574682638794,0.2382065710618411,175.0,0.2720899200508758,85.0,0.3475292585322981,43.0,0.4376213933605064,91.0,0.8076369151653383,20.0,0.1129257955810679,70.0,1.7964196622512754,3.0,6,10,2,0,10,70,cluster_11,cluster_20,cluster_31,661252900.2320186,431.0,30.0,18.5,23.5,4.0,2.5165574682638794,49.209
phường minh phụng,1,2.0,4.0,5.0,5.5,13.0,4360000000.0,71.0,0,0,0,0,71.502,10.7566993,106.6465801,6.347405962345484,0.2897405349640682,193.0,0.4641694033834687,67.0,0.534930568813806,44.0,0.8095463326053062,28.0,0.9979682168216238,5.0,0.0696003370800699,70.0,2.789766515743807,0.0,6,9,1,0,11,15,cluster_2,cluster_26,cluster_46,61408450.704225354,71.0,5.0,5.5,13.0,2.0,6.347405962345484,71.502
phường diên hồng,1,3.0,4.0,5.0,4.3,15.0,6890000000.0,65.0,0,0,0,0,40.663,10.7673031,106.6639559,4.177717404417766,0.1321456498930087,217.0,0.6222421286803709,83.0,0.0770050538488039,55.0,0.1406451216433702,58.0,0.7120967895816094,8.0,0.1383351558074551,65.0,3.732512409760755,3.0,6,9,1,0,11,72,cluster_2,cluster_29,cluster_98,106000000.0,65.0,5.0,4.3,15.0,3.0,4.177717404417766,40.663
phường xuân hòa,1,3.0,3.0,6.0,4.5,13.0,5940000000.0,59.0,0,0,0,0,21.831,10.7824046,106.6895335,1.3842360927551391,0.1362858508209465,177.0,0.392725688709276,81.0,0.8309996539468081,44.0,0.306041499917031,114.0,0.4875412983036777,17.0,0.0903504268932904,90.0,1.56192760975934,5.0,6,9,1,0,11,99,cluster_19,cluster_22,cluster_59,100677966.10169491,59.0,6.0,4.5,13.0,3.0,1.3842360927551391,21.831
phường cầu kiệu,1,5.0,4.0,7.0,5.0,10.0,3930000000.0,50.0,0,0,0,0,50.946,10.7968306,106.6913229,2.44074910241188,0.0989473603816921,142.0,0.6077150908310768,62.0,0.6173297645718273,20.0,0.3290326866051206,74.0,2.0832634559367755,11.0,0.5346105379488431,35.0,2.4962462509231447,6.0,6,9,1,0,11,93,cluster_19,cluster_22,cluster_92,78600000.0,50.0,7.0,5.0,10.0,5.0,2.44074910241188,50.946
phường chợ lớn,1,4.0,5.0,6.0,4.5,11.0,3670000000.0,61.0,0,0,0,0,50.938,10.7522989,106.6512192,6.077058645332947,0.2294300757931321,185.0,0.9952754727271408,68.0,0.3113409291917248,43.0,0.919397073400981,25.0,0.5028735528918428,5.0,0.0862327276241671,72.0,2.789766515743807,0.0,6,9,1,0,11,21,cluster_2,cluster_37,cluster_46,60163934.42622951,61.0,6.0,4.5,11.0,4.0,6.077058645332947,50.938
phường vườn lài,1,4.0,4.0,6.0,4.8,13.0,4360000000.0,62.0,0,0,0,0,81.309,10.768525,106.6724938,3.2419722128438297,0.3010820874778004,222.0,0.2811142836074399,87.0,0.2622385558569263,54.0,0.3931772678968423,92.0,0.3926340325942063,11.0,0.1032738006671135,74.0,2.789766515743807,3.0,6,9,1,0,11,52,cluster_2,cluster_10,cluster_98,70322580.64516129,62.0,6.0,4.8,13.0,4.0,3.2419722128438297,81.309
phường tân định,1,5.0,7.0,7.0,4.5,16.0,6670000000.0,72.0,0,0,0,0,39.45,10.7911838,106.6923819,1.8341731692460648,0.1037729567112353,143.0,0.3167659159924683,74.0,0.2917832726058462,27.0,0.1248165769533943,100.0,1.4754329743928578,13.0,0.1220474644889992,50.0,2.0311407966409747,6.0,6,9,1,0,11,97,cluster_19,cluster_22,cluster_28,92638888.8888889,72.0,7.0,4.5,16.0,5.0,1.8341731692460648,39.45
phường an khánh,1,3.0,5.0,12.0,5.0,18.0,5810000000.0,90.0,1,1,1,1,5.021,10.7949602,106.7305484,3.808504175625029,0.6561629916851701,62.0,0.9356213880345662,21.0,0.452628431051221,11.0,0.7671058558033097,31.0,0.7439168201610871,5.0,0.1672563295946353,34.0,0.6992062452147358,9.0,6,9,1,0,11,84,cluster_12,cluster_14,cluster_48,64555555.55555555,90.0,12.0,5.0,18.0,3.0,3.808504175625029,5.021
