link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density
https://alonhadat.com.vn/ban-nha-mat-tien-dong-xoai-p13-q-tan-binh-dt-5m-x-24m-cong-nhan-118m2-gia-23-ty-18814458.html,"Bán nhà mặt tiền Đồng Xoài - P13 Q.Tân Bình - DT: 5m x 24m, công nhận 118m2 - Giá 23 tỷ",2026-06-20,đường đồng xoài,"Đường Đồng Xoài, Phường 13, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân bình,hồ chí minh,18814458,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,6.0,10.0,5.0,24.0,23000000000.0,118.0,0,0,0,0,0,"2,12",42.157
https://alonhadat.com.vn/ban-nha-mt-duong-3-2-quan-11-gan-thai-phien-18810089.html,Bán nhà mt đường 3/2 - Quận 11 gần Thái Phiên,2026-06-20,đường ba tháng hai,"Đường Ba Tháng Hai, Phường Minh Phụng, Quận 11, Hồ Chí Minh (cũ)",phường minh phụng,hồ chí minh,18810089,tay_bac,can_ban,nha_mat_tien,so_hong_so_do,1.0,2.0,15.0,3.5,12.0,8500000000.0,39.0,1,1,0,1,0,"1,27",71.502
https://alonhadat.com.vn/goc-2-mt-cach-mang-thang-8-ngay-benh-vien-thong-nhat-tan-binh-500m2-ngang-23m-18814442.html,GÓC 2 MT CÁCH MẠNG THÁNG 8 - NGAY BỆNH VIỆN THỐNG NHẤT - TÂN BÌNH - 500M2 - NGANG  23M,2026-06-20,đường cách mạng tháng tám,"Đường Cách Mạng Tháng Tám, Phường Tân Sơn Nhất, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn nhất,hồ chí minh,18814442,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,1.0,10.0,23.0,20.0,77900000000.0,500.0,1,1,1,1,0,"3,19",26.533
https://alonhadat.com.vn/giam-manh-1-5-ty-mat-tien-thuong-hieu-nguyen-gia-tri-d2-dong-tien-50-trieu-thang-18814437.html,"GIẢM MẠNH 1,5 TỶ – MẶT TIỀN THƯƠNG HIỆU NGUYỄN GIA TRÍ (D2) – DÒNG TIỀN 50 TRIỆU/THÁNG",2026-06-20,đường nguyễn gia trí,"Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường thạnh mỹ tây,hồ chí minh,18814437,unknown,can_ban,nha_mat_tien,so_hong_so_do,5.0,5.0,30.0,4.0,20.0,23500000000.0,80.0,1,1,1,1,0,"4,40",34.822
https://alonhadat.com.vn/ban-nha-5-tang-mat-tien-duong-thoi-an-22-quan-12-64m-4x16-hem-xe-tai-6-8-ty-18814418.html,"Bán Nhà 5 Tầng Mặt Tiền đường Thới An 22, Quận 12, 64m(4x16), Hẻm Xe Tải, 6.8 Tỷ",2026-06-20,đường thới an 22,"Đường Thới An 22, Phường Thới An, Quận 12, Hồ Chí Minh (cũ)",phường thới an,hồ chí minh,18814418,unknown,can_ban,nha_mat_tien,so_hong_so_do,5.0,4.0,7.0,4.0,16.0,6800000000.0,64.0,1,1,1,0,0,"14,90",8.433
https://alonhadat.com.vn/ban-2012m2-40x51m-mat-tien-le-trong-tan-doan-gan-son-ky-dai-hoc-cong-thuong-aeon-tan-phu-18814400.html,Bán 2012m2( 40x51m )Mặt Tiền Lê Trọng Tấn-Đoạn Gần Sơn Kỳ-Đại Học Công Thương-Aeon Tân Phú,2026-06-20,đường lê trọng tấn,"Đường Lê Trọng Tấn, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh (cũ)",phường tân sơn nhì,hồ chí minh,18814400,unknown,can_ban,nha_mat_tien,so_hong_so_do,,,40.0,40.0,51.0,125000000000.0,2012.0,0,0,0,0,0,"3,46",33.895
https://alonhadat.com.vn/ban-nha-mat-tien-phan-van-tri-binh-thanh-dt-5-3x17m-3-lau-moi-o-lien-chi-nhinh-10-ty-18745585.html,"Nhà Mặt tiền Phan Văn Trị, Dt 5.3x17m, 3 lầu, Mới, Vào ở liền, Giá 10 tỷ",2026-06-20,đường phan văn trị,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình lợi trung,hồ chí minh,18745585,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,6.0,15.0,5.3,17.0,10000000000.0,65.0,0,0,0,0,0,"3,89",29.851
https://alonhadat.com.vn/mat-tien-le-quang-dinh-p-11-binh-thanh-ngay-nga-tu-no-trang-long-dt-4-2x24m-23-ty-18813947.html,"MẶT TIỀN LÊ QUANG ĐỊNH P.11 BÌNH THẠNH NGAY NGÃ TƯ NƠ TRANG LONG – DT 4,2x24M - 23 TỶ",2026-06-20,đường lê quang định,"Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình lợi trung,hồ chí minh,18813947,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,4.0,20.0,4.2,24.0,23000000000.0,100.0,1,1,1,1,0,"3,89",29.851
https://alonhadat.com.vn/ban-day-tro-7-phong-mt-tan-chanh-hiep-7-dt-5x24m-gia-7-ty-tl-18793275.html,"Bán dãy trọ 7 phòng MT Tân Chánh Hiệp 7, DT: 5x24m, giá 7 tỷ tl",2026-06-20,đường tân chánh hiệp 7,"Đường Tân Chánh Hiệp 7, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh (cũ)",phường trung mỹ tây,hồ chí minh,18793275,unknown,can_ban,nha_mat_tien,unknown,,7.0,15.0,5.0,25.0,7000000000.0,118.0,0,0,0,0,0,"6,93",18.250
https://alonhadat.com.vn/-nha-mat-pho-q12-thong-so-dep-thuan-tien-di-chuyen-nga-tu-ga-khong-lo-gioi--18812321.html,❌NHÀ MẶT PHỐ Q12 - THÔNG SỐ ĐẸP - THUẬN TIỆN DI CHUYỂN NGÃ TƯ GA - KHÔNG LỘ GIỚI❌,2026-06-20,đường thạnh xuân 22,"Đường Thạnh Xuân 22, Phường Thới An, Quận 12, Hồ Chí Minh (cũ)",phường thới an,hồ chí minh,18812321,unknown,can_ban,nha_mat_tien,unknown,4.0,5.0,12.0,,,10100000000.0,97.0,0,0,0,0,0,"14,90",8.433
