link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,lat,lon,matched_address,distance_to_center_km
https://alonhadat.com.vn/ban-nha-rieng-hem-xe-hoi-4-tang-moi-dep-lung-linh-p14-binh-thanh-18269430.html,Bán nhà riêng hẻm xe hơi 4 tầng mới đẹp lung linh P14 Bình Thạnh,2026-05-23,đường lê quang định,"Đường Lê Quang Định, Phường 14, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,18269430,unknown,can_ban,nha_trong_hem,unknown,3,3,4.0,4.1,12.5,8900000000.0,50.0,0,0,0,0,0,"3,32",38.042,10.8045369,106.6985299,"đường lê quang định, phường bình thạnh, hồ chí minh, Vietnam",3.067975386545508
https://alonhadat.com.vn/sieu-vi-tri-toa-nha-ham-10-tang-le-thanh-ton-q1-dt-4-4x21m-93m2-110-ty-250tr-thang-17891053.html,SIÊU VỊ TRÍ TÒA NHÀ HẦM 10 TẦNG LÊ THÁNH TÔN-Q1.DT:4.4X21M. 93M2. 110 TỶ 250tr/tháng,2026-05-27,đường lê thánh tôn,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh (cũ)",phường sài gòn,hồ chí minh,17891053,unknown,can_ban,nha_mat_tien,unknown,10,15,30.0,,,110000000000.0,92.0,0,0,0,0,0,"3,04",15.468,10.7803088,106.7054885,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam",0.6277042037044096
https://alonhadat.com.vn/ban-biet-thu-khu-compound-284-nguyen-trong-tuyen-p10-phu-nhuan-7x25m-3-lau-sieu-dep-16693368.html,"Bán Biệt Thự Khu Compound 284 Nguyễn Trọng Tuyển p10 Phú Nhuận, 7x25m, 3 lầu siêu đẹp",2026-05-27,đường nguyễn trọng tuyển,"Đường Nguyễn Trọng Tuyển, Phường 10, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường phú nhuận,hồ chí minh,16693368,unknown,can_ban,nha_trong_hem,unknown,3,5,16.0,,,45000000000.0,165.0,0,0,0,0,0,"1,46",46.863,10.7978431,106.674643,"đường nguyễn trọng tuyển, phường phú nhuận, hồ chí minh, Vietnam",3.6895318354353357
