link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density,lat,lon,matched_address,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
https://alonhadat.com.vn/mat-tien-to-hien-thanh-vi-tri-dep-gan-ho-ba-kien-quan-10-18773853.html,"MẶT TIỀN TÔ HIẾN THÀNH – VỊ TRÍ ĐẸP GẦN HỒ BÁ KIỆN, QUẬN 10",2026-06-10,đường tô hiến thành,"Đường Tô Hiến Thành, Phường 15, Quận 10, Hồ Chí Minh (cũ)",phường hòa hưng,hồ chí minh,18773853,unknown,can_ban,nha_mat_tien,unknown,2.0,5.0,30.0,4.0,24.0,30500000000.0,96.0,0,0,0,0,0,"2,59",37.225,10.7761968,106.6652989,"đường tô hiến thành, phường hòa hưng, hồ chí minh, Vietnam",3.8944351444348873,0.09033164680189,220.0,0.1311023896507005,86.0,0.5132785627783026,45.0,0.1795069716007134,60.0,0.7773015143365518,10.0,0.1571032449174196,35.0,3.610697911008119,3.0
https://alonhadat.com.vn/mat-tien-12m-thong-nhat-100m2-6-tang-thang-may-doanh-thu-100tr-thang-23-ty-nhinh-18773849.html,"Mặt Tiền 12m, Thống Nhất, 100m2, 6 Tầng,Thang Máy, Doanh Thu 100tr/ Tháng, 23 Tỷ Nhỉnh",2026-06-10,đường thống nhất,"Đường Thống Nhất, Phường An Hội Đông, Quận Gò Vấp, Hồ Chí Minh (cũ)",phường an hội đông,hồ chí minh,18773849,unknown,can_ban,nha_mat_tien,so_hong_so_do,6.0,14.0,12.0,5.0,20.0,23500000000.0,100.0,1,1,1,1,0,"3,29",34.553,10.8448312,106.6637479,"đường thống nhất, phường an hội đông, hồ chí minh, Vietnam",8.542144863362457,0.0440613294910275,50.0,1.1592105234017325,10.0,0.5842311892805774,4.0,1.2026938865654762,8.0,1.951140427992964,5.0,0.1104260112163783,37.0,5.0,0.0
https://alonhadat.com.vn/-danh-cho-dau-tu-mt-ngo-thoi-nhiem-truong-dinh-9x20m-3l-hd-130-tr-th-chi-75-ty-18773842.html,🔥Dành Cho Đầu Tư - MT Ngô Thời Nhiệm - Trương Định 9x20m 3L HĐ 130 Tr/th Chỉ 75 Tỷ,2026-06-10,đường ngô thời nhiệm,"Đường Ngô Thời Nhiệm, Phường Bàn Cờ, Quận 3, Hồ Chí Minh (cũ)",phường bàn cờ,hồ chí minh,18773842,dong,can_ban,nha_mat_tien,so_hong_so_do,3.0,3.0,20.0,9.0,20.0,75000000000.0,180.0,0,0,0,0,0,"0,99",68.299,10.7700325,106.6820112,"phường bàn cờ, hồ chí minh, Vietnam",2.201106299352912,0.0644333117773673,197.0,0.3849213583177093,86.0,0.2379889447970478,47.0,0.0058038571442635,113.0,0.1386298509754801,19.0,0.0490763949995173,77.0,1.7388740272127554,4.0
https://alonhadat.com.vn/chinh-chu-ban-gap-2-mt-44-truong-quoc-dung-q-phu-nhuan-dt-4x13m-gia-chi-23-ty-18463199.html,"CHÍNH CHỦ BÁN GẤP 2 MT 44 TRƯƠNG QUỐC DUNG, Q PHÚ NHUÂN, DT: 4X13M , GIÁ CHỈ 23 TỶ",2026-06-10,đường trương quốc dung,"Đường Trương Quốc Dung, Phường 11, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường phú nhuận,hồ chí minh,18463199,unknown,can_ban,nha_mat_tien,unknown,4.0,4.0,44.0,4.281744192888376,12.84523257866513,23000000000.0,55.0,0,0,0,0,0,"1,46",46.863,10.7947441,106.6728401,"đường trương quốc dung, phường phú nhuận, hồ chí minh, Vietnam",3.64874386295914,0.2878961783175112,165.0,0.3135440856087358,80.0,0.1771691696337695,25.0,0.1848828707573728,54.0,2.1698780565540328,7.0,0.2253499087805442,45.0,3.7985822441523314,4.0
https://alonhadat.com.vn/chinh-chu-ban-gap-nha-7-tang-nguyen-trai-quan-1-dt-9-5x18m-gia-37-ty-18461419.html,"CHÍNH CHỦ BÁN GẤP NHÀ 7 TẦNG NGUYỄN TRÃI QUẬN 1, DT:9.5X18M GIÁ 37 TỶ",2026-06-10,đường nguyễn trãi,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh (cũ)",phường cầu ông lãnh,hồ chí minh,18461419,unknown,can_ban,nha_mat_tien,unknown,7.0,7.0,20.0,9.128709291752768,27.386127875258307,37000000000.0,250.0,0,0,0,0,0,"1,60",49.209,10.7607239,106.6855219,"đường nguyễn trãi, phường cầu ông lãnh, hồ chí minh, Vietnam",2.4556959745761966,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792,3.0
https://alonhadat.com.vn/chinh-chu-xua-gio-ban-gap-nha-mt-81-ho-bieu-chanh-q-phu-nhuan-dt-7-5x19m-gia-chi-27-ty-18461498.html,"CHÍNH CHỦ XƯA GIỜ BÁN GẤP NHÀ MT 81 HỒ BIỂU CHÁNH, Q.PHÚ NHUẬN, DT:7,5X19M GIÁ CHỈ 27 TỶ",2026-06-10,đường hồ biểu chánh,"Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường phú nhuận,hồ chí minh,18461498,unknown,can_ban,nha_mat_tien,unknown,2.0,2.0,33.0,7.745966692414834,23.2379000772445,27000000000.0,180.0,0,0,0,0,0,"1,46",46.863,10.794035,106.6770483,"đường hồ biểu chánh, phường phú nhuận, hồ chí minh, Vietnam",3.22443271667124,0.0694095480430843,168.0,0.3416504369705601,81.0,0.574598789523646,24.0,0.2112956719001877,58.0,2.0061668906688466,8.0,0.1530383602394927,46.0,3.4224638087302064,4.0
https://alonhadat.com.vn/ban-nha-mt-24-dinh-bo-linh-q-binh-thanh-dt-12x22m-7-tang-gia-125-ty-18461559.html,"BÁN NHÀ MT 24 ĐINH BÔ LĨNH , Q.BÌNH THẠNH , DT:12x22m, 7 TẦNG, GIÁ: 125 tỷ",2026-06-10,đường đinh bộ lĩnh,"Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,18461559,unknown,can_ban,nha_mat_tien,unknown,8.0,8.0,66.0,8.755950357709132,26.267851073127392,125000000000.0,230.0,0,0,0,0,0,"3,32",38.042,10.8087887,106.7086489,"đường đinh bộ lĩnh, phường bình thạnh, hồ chí minh, Vietnam",3.627683910805435,0.092770057368434,93.0,1.4801367756556396,38.0,1.3318686290477475,15.0,0.5009314330584822,49.0,2.5198965312788086,3.0,0.1133809924087942,45.0,1.5956976130690346,7.0
https://alonhadat.com.vn/chinh-chu-ban-gap-nha-mt-235-ly-chinh-thang-quan-1-dt-4x16m-gia-chi-27-ty-18460131.html,"CHÍNH CHỦ BÁN GẤP NHÀ MT 235 LÝ CHÍNH THẮNG, QUẬN 1, DT:4X16M, GIÁ CHỈ 27 TỶ",2026-06-10,đường lý chính thắng,"Đường Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh (cũ)",phường nhiêu lộc,hồ chí minh,18460131,unknown,can_ban,nha_mat_tien,unknown,3.0,3.0,30.0,5.41602560309064,16.24807680927192,27000000000.0,88.0,0,0,0,0,0,"1,71",51.515,10.7830833,106.6842416,"đường lý chính thắng, phường nhiêu lộc, hồ chí minh, Vietnam",1.9460436499848384,0.3312847310363263,191.0,0.1412704733229399,83.0,0.6006546929080936,47.0,0.5582479452345399,116.0,0.8385575755765127,18.0,0.1032637579844324,80.0,2.006868832724398,5.0
https://alonhadat.com.vn/chinh-chu-ban-gap-mt-49-phan-dang-luu-q-phu-nhuan-dt-8x20m-gia-55-ty-18468346.html,"CHÍNH CHỦ BÁN GẤP MT 49 PHAN ĐĂNG LƯU , Q.PHÚ NHUẬN, DT:8X20M, GIÁ 55 TỶ",2026-06-10,đường phan đăng lưu,"Đường Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Hồ Chí Minh (cũ)",phường cầu kiệu,hồ chí minh,18468346,unknown,can_ban,nha_mat_tien,unknown,4.0,4.0,55.0,7.637626158259733,22.9128784747792,55000000000.0,175.0,0,0,0,0,0,"1,23",50.946,10.7994686,106.6825238,"đường phan đăng lưu, phường cầu kiệu, hồ chí minh, Vietnam",3.204820154371627,0.2635712509822548,153.0,0.6525631965622177,64.0,0.4504130592990115,20.0,0.5410249684569507,60.0,2.375241010354709,5.0,0.1388857296812283,36.0,3.422538993510745,5.0
https://alonhadat.com.vn/chinh-chu-ban-gap-nha-2-mt-ton-that-tung-quan-1-dt-7x13m-gia-43-ty-18410151.html,"CHÍNH CHỦ BÁN GẤP NHÀ 2 MT TÔN THẤT TÙNG , QUẬN 1,DT:7x13M, GIÁ 43 TỶ",2026-06-10,đường tôn thất tùng,"Đường Tôn Thất Tùng, Phường Bến Thành, Quận 1, Hồ Chí Minh (cũ)",phường bến thành,hồ chí minh,18410151,unknown,can_ban,nha_mat_tien,unknown,4.0,4.0,40.0,5.477225575051661,16.431676725154983,43000000000.0,90.0,0,0,0,0,0,"1,85",38.809,10.7703806,106.6951066,"phường bến thành, hồ chí minh, Vietnam",0.9599531806807066,0.1682281419757254,156.0,0.4687869383164875,90.0,0.392590184870133,43.0,0.2254505420255021,104.0,0.540445117494645,19.0,0.1102065228684687,110.0,0.3100919595528648,5.0
