training_scope,target,model,rank,source_feature,importance,importance_normalized,signed_effect,encoded_feature_count,importance_type
global,price_per_m2,lightgbm,6,length_m,1199.0,0.04440740740740741,,1,model_feature_importance
global,price_per_m2,lightgbm,7,num_bedrooms,1025.0,0.03796296296296296,,1,model_feature_importance
global,price_per_m2,lightgbm,8,lon,773.0,0.02862962962962963,,1,model_feature_importance
global,price_per_m2,lightgbm,9,nearest_marketplace_km,739.0,0.02737037037037037,,1,model_feature_importance
global,price_per_m2,lightgbm,10,property_type_area_m2,718.0,0.02659259259259259,,1,model_feature_importance
global,price_per_m2,lightgbm,11,property_type_road_width_m,713.0,0.026407407407407407,,1,model_feature_importance
global,price_per_m2,lightgbm,12,nearest_hospital_km,604.0,0.02237037037037037,,1,model_feature_importance
global,price_per_m2,lightgbm,13,nearest_bus_stop_km,591.0,0.02188888888888889,,1,model_feature_importance
global,price_per_m2,lightgbm,14,property_type_width_m,585.0,0.021666666666666667,,1,model_feature_importance
global,price_per_m2,lightgbm,15,distance_to_center_km,548.0,0.020296296296296295,,1,model_feature_importance
global,price_per_m2,lightgbm,16,nearest_school_km,529.0,0.019592592592592592,,1,model_feature_importance
global,price_per_m2,lightgbm,17,nearest_supermarket_km,517.0,0.019148148148148147,,1,model_feature_importance
global,price_per_m2,lightgbm,18,nearest_mall_km,504.0,0.018666666666666668,,1,model_feature_importance
global,price_per_m2,lightgbm,19,nearest_metro_km,503.0,0.018629629629629628,,1,model_feature_importance
global,price_per_m2,lightgbm,20,locality,496.0,0.01837037037037037,,91,model_feature_importance
global,price_per_m2,lightgbm,21,lat,488.0,0.018074074074074076,,1,model_feature_importance
global,price_per_m2,lightgbm,22,property_type_locality_population_density,456.0,0.016888888888888887,,1,model_feature_importance
global,price_per_m2,lightgbm,23,property_type_num_floors,438.0,0.01622222222222222,,1,model_feature_importance
global,price_per_m2,lightgbm,24,locality_population_density,423.0,0.015666666666666666,,1,model_feature_importance
global,price_per_m2,lightgbm,25,post_age_days,414.0,0.015333333333333332,,1,model_feature_importance
global,price_per_m2,lightgbm,26,location_cluster_100,413.0,0.015296296296296296,,95,model_feature_importance
global,price_per_m2,lightgbm,27,bus_stop_count_1km,412.0,0.015259259259259259,,1,model_feature_importance
global,price_per_m2,lightgbm,28,post_day_of_month,374.0,0.013851851851851851,,1,model_feature_importance
global,price_per_m2,lightgbm,29,post_weekday,372.0,0.013777777777777778,,1,model_feature_importance
global,price_per_m2,lightgbm,30,school_count_3km,367.0,0.013592592592592592,,1,model_feature_importance
global,price_per_m2,lightgbm,31,supermarket_count_3km,364.0,0.013481481481481481,,1,model_feature_importance
global,price_per_m2,lightgbm,32,property_type_length_m,350.0,0.012962962962962963,,1,model_feature_importance
global,price_per_m2,lightgbm,33,location_cluster_50,342.0,0.012666666666666666,,49,model_feature_importance
global,price_per_m2,lightgbm,34,property_type_distance_to_center_km,295.0,0.010925925925925926,,1,model_feature_importance
global,price_per_m2,lightgbm,35,locality_cv_target_count,285.0,0.010555555555555556,,1,model_feature_importance
global,price_per_m2,lightgbm,36,hospital_count_5km,276.0,0.010222222222222223,,1,model_feature_importance
global,price_per_m2,lightgbm,37,marketplace_count_3km,243.0,0.009,,1,model_feature_importance
global,price_per_m2,lightgbm,38,locality_listing_count,226.0,0.00837037037037037,,1,model_feature_importance
global,price_per_m2,lightgbm,39,mall_count_3km,195.0,0.007222222222222222,,1,model_feature_importance
global,price_per_m2,lightgbm,40,car_parking_bin,160.0,0.005925925925925926,,1,model_feature_importance
global,price_per_m2,lightgbm,41,metro_count_5km,133.0,0.004925925925925926,,1,model_feature_importance
global,price_per_m2,lightgbm,42,terrace_bin,108.0,0.004,,1,model_feature_importance
global,price_per_m2,lightgbm,43,kitchen_bin,102.0,0.003777777777777778,,1,model_feature_importance
global,price_per_m2,lightgbm,44,dining_room_bin,90.0,0.0033333333333333335,,1,model_feature_importance
global,price_per_m2,lightgbm,45,location_cluster_20,88.0,0.003259259259259259,,20,model_feature_importance
global,price_per_m2,lightgbm,46,post_month,28.0,0.001037037037037037,,1,model_feature_importance
global,price_per_m2,lightgbm,47,property_type,17.0,0.0006296296296296296,,1,model_feature_importance
global,price_per_m2,lightgbm,48,post_is_weekend,7.0,0.00025925925925925926,,1,model_feature_importance
global,price_vnd,catboost,1,area_m2,22.1091141934189,0.22109114193418863,,1,model_feature_importance
global,price_vnd,catboost,2,property_type_area_m2,13.188834045697375,0.13188834045697354,,1,model_feature_importance
global,price_vnd,catboost,3,locality_cv_target_median,8.387605579343367,0.08387605579343352,,1,model_feature_importance
global,price_vnd,catboost,4,road_width_m,8.114248658863099,0.08114248658863085,,1,model_feature_importance
global,price_vnd,catboost,5,property_type_road_width_m,5.750977688933875,0.05750977688933865,,1,model_feature_importance
global,price_vnd,catboost,6,width_m,3.7237094520947283,0.03723709452094722,,1,model_feature_importance
global,price_vnd,catboost,7,num_bedrooms,3.3819119799830006,0.03381911979982995,,1,model_feature_importance
global,price_vnd,catboost,8,num_floors,3.3273853765782335,0.03327385376578228,,1,model_feature_importance
global,price_vnd,catboost,9,length_m,3.1500279441989174,0.03150027944198912,,1,model_feature_importance
global,price_vnd,catboost,10,property_type_width_m,2.591642497566043,0.025916424975660383,,1,model_feature_importance
global,price_vnd,catboost,11,distance_to_center_km,1.6067917046388416,0.016067917046388387,,1,model_feature_importance
global,price_vnd,catboost,12,locality_population_density,1.4604780926160692,0.014604780926160667,,1,model_feature_importance
global,price_vnd,catboost,13,property_type_length_m,1.306136460929398,0.013061364609293958,,1,model_feature_importance
global,price_vnd,catboost,14,lon,1.2796124299377434,0.012796124299377412,,1,model_feature_importance
global,price_vnd,catboost,15,metro_count_5km,1.1735016338151278,0.011735016338151258,,1,model_feature_importance
global,price_vnd,catboost,16,supermarket_count_3km,1.1517600123425835,0.011517600123425816,,1,model_feature_importance
global,price_vnd,catboost,17,property_type_num_floors,1.0735746990811985,0.010735746990811966,,1,model_feature_importance
global,price_vnd,catboost,18,bus_stop_count_1km,0.9897644170874073,0.009897644170874055,,1,model_feature_importance
global,price_vnd,catboost,19,nearest_marketplace_km,0.9579092246618743,0.009579092246618726,,1,model_feature_importance
global,price_vnd,catboost,20,nearest_bus_stop_km,0.9369492866488058,0.009369492866488043,,1,model_feature_importance
global,price_vnd,catboost,21,nearest_supermarket_km,0.9100566621256906,0.00910056662125689,,1,model_feature_importance
global,price_vnd,catboost,22,post_age_days,0.8159494382769481,0.008159494382769467,,1,model_feature_importance
