locality,region,locality_square,locality_population_density
xã phú hòa đông,hồ chí minh,"59,75",1.636
xã phú nghĩa,hà nội,"40,24",1.766
xã phú xuyên,hà nội,"60,02",1.61
xã phúc lộc,hà nội,"41,15",1.493
xã phúc sơn,hà nội,"49,31",1.097
xã phúc thịnh,hà nội,"42,63",2.251
xã phúc thọ,hà nội,"39,66",1.902
xã phước hải,hồ chí minh,"70,44",619.0
xã phước hòa,hồ chí minh,"128,07",332.0
xã phước thành,hồ chí minh,"123,49",128.0
xã phượng dực,hà nội,"44,69",1.349
xã quảng bị,hà nội,"37,14",1.695
xã quang minh,hà nội,"32,17",2.164
xã quảng oai,hà nội,"49,26",1.198
xã quốc oai,hà nội,"24,00",2.639
xã sóc sơn,hà nội,"68,24",1.727
xã sơn đồng,hà nội,"21,57",2.933
xã suối hai,hà nội,"52,55",670.0
xã tam hưng,hà nội,"29,45",1.327
xã tân an hội,hồ chí minh,"53,50",1.576
xã tân nhựt,hồ chí minh,"43,48",2.661
xã tân vĩnh lộc,hồ chí minh,"34,02",4.829
xã tây phương,hà nội,"31,06",3.216
xã thạch thất,hà nội,"31,93",1.805
xã thái mỹ,hồ chí minh,"62,44",799.0
xã thanh an,hồ chí minh,"136,72",185.0
xã thạnh an,hồ chí minh,"131,31",32.0
xã thanh oai,hà nội,"26,86",2.028
xã thanh trì,hà nội,"10,15",5.456
xã thiên lộc,hà nội,"27,96",2.668
xã thuận an,hà nội,"29,67",2.302
xã thư lâm,hà nội,"43,84",2.34
xã thượng phúc,hà nội,"28,91",1.573
xã thường tân,hồ chí minh,"127,76",166.0
xã thường tín,hà nội,"28,29",2.5
xã tiến thắng,hà nội,"36,34",1.768
xã trần phú,hà nội,"44,36",1.071
xã trung giã,hà nội,"77,52",791.0
xã trừ văn thố,hồ chí minh,"76,56",320.0
xã ứng hòa,hà nội,"67,81",940.0
xã ứng thiên,hà nội,"38,41",1.405
xã vân đình,hà nội,"41,60",1.462
xã vật lại,hà nội,"51,76",1.132
xã vĩnh lộc,hồ chí minh,"30,58",5.462
xã vĩnh thanh,hà nội,"22,52",2.873
xã xuân mai,hà nội,"50,72",1.327
xã xuân sơn,hồ chí minh,"73,81",371.0
xã xuân thới sơn,hồ chí minh,"35,21",2.744
xã xuyên mộc,hồ chí minh,"102,96",261.0
xã yên bài,hà nội,"68,19",314.0
xã yên lãng,hà nội,"44,81",1.592
xã yên xuân,hà nội,"78,01",377.0
phường an đông,hồ chí minh,"1,32",61.537
phường an hội đông,hồ chí minh,"3,29",34.553
phường an hội tây,hồ chí minh,"3,81",31.76
phường an khánh,hồ chí minh,"15,33",5.021
phường an lạc,hồ chí minh,"10,47",16.441
phường an nhơn,hồ chí minh,"3,23",34.52
phường an phú,hồ chí minh,"16,85",9.669
phường an phú đông,hồ chí minh,"14,59",12.277
phường ba đình,hà nội,"2,97",21.893
phường bà rịa,hồ chí minh,"15,55",3.361
phường bạch mai,hà nội,"2,95",43.922
phường bàn cờ,hồ chí minh,"0,99",68.299
phường bảy hiền,hồ chí minh,"2,86",46.242
phường bến cát,hồ chí minh,"100,89",971.0
phường bến thành,hồ chí minh,"1,85",38.809
phường bình cơ,hồ chí minh,"73,69",877.0
phường bình dương,hồ chí minh,"58,16",1.85
phường bình đông,hồ chí minh,"8,93",17.419
phường bình hòa,hồ chí minh,"18,49",6.492
phường bình hưng hòa,hồ chí minh,"8,47",22.19
phường bình lợi trung,hồ chí minh,"3,89",29.851
phường bình phú,hồ chí minh,"2,85",26.64
phường bình quới,hồ chí minh,"6,34",7.287
phường bình tân,hồ chí minh,"11,25",14.387
phường bình tây,hồ chí minh,"1,05",60.279
phường bình thạnh,hồ chí minh,"3,32",38.042
phường bình thới,hồ chí minh,"1,52",44.393
phường bình tiên,hồ chí minh,"1,61",56.845
phường bình trị đông,hồ chí minh,"7,15",23.097
phường bình trưng,hồ chí minh,"14,82",8.19
phường bồ đề,hà nội,"12,94",9.276
phường cát lái,hồ chí minh,"19,65",3.494
phường cầu giấy,hà nội,"3,74",19.924
phường cầu kiệu,hồ chí minh,"1,23",50.946
phường cầu ông lãnh,hồ chí minh,"1,60",49.209
phường chánh hiệp,hồ chí minh,"19,66",2.868
phường chánh hưng,hồ chí minh,"4,61",41.368
phường chánh phú hòa,hồ chí minh,"69,54",775.0
phường chợ lớn,hồ chí minh,"1,67",50.938
phường chợ quán,hồ chí minh,"1,28",49.645
phường chương mỹ,hà nội,"38,92",2.259
phường cửa nam,hà nội,"1,68",31.399
phường dĩ an,hồ chí minh,"21,36",10.666
phường diên hồng,hồ chí minh,"1,86",40.663
phường dương nội,hà nội,"7,90",7.1
phường đại mỗ,hà nội,"8,10",9.934
phường định công,hà nội,"5,34",16.012
phường đống đa,hà nội,"2,07",39.303
phường đông hòa,hồ chí minh,"21,89",6.033
phường đông hưng thuận,hồ chí minh,"8,26",22.142
phường đông ngạc,hà nội,"8,85",9.44
phường đức nhuận,hồ chí minh,"2,17",32.947
phường gia định,hồ chí minh,"2,76",45.633
phường giảng võ,hà nội,"2,60",37.321
phường gò vấp,hồ chí minh,"2,81",39.448
phường hà đông,hà nội,"9,00",20.578
phường hai bà trưng,hà nội,"2,65",33.132
phường hạnh thông,hồ chí minh,"3,37",38.239
phường hiệp bình,hồ chí minh,"16,01",13.469
phường hòa bình,hồ chí minh,"0,98",70.733
phường hòa hưng,hồ chí minh,"2,59",37.225
phường hòa lợi,hồ chí minh,"33,59",2.373
phường hoàn kiếm,hà nội,"1,91",55.131
phường hoàng liệt,hà nội,"4,04",13.817
phường hoàng mai,hà nội,"9,04",10.896
phường hồng hà,hà nội,"15,09",8.17
phường khánh hội,hồ chí minh,"1,07",88.324
phường khương đình,hà nội,"3,10",27.834
phường kiến hưng,hà nội,"6,65",10.652
phường kim liên,hà nội,"2,45",44.533
phường lái thiêu,hồ chí minh,"15,46",7.688
phường láng,hà nội,"1,88",32.519
phường lĩnh nam,hà nội,"10,86",1.907
phường linh xuân,hồ chí minh,"12,29",12.883
phường long biên,hà nội,"19,04",3.303
phường long bình,hồ chí minh,"29,43",4.065
phường long hương,hồ chí minh,"41,22",763.0
phường long nguyên,hồ chí minh,"108,00",494.0
phường long phước,hồ chí minh,"34,29",1.548
phường long trường,hồ chí minh,"24,49",3.008
phường minh phụng,hồ chí minh,"1,27",71.502
phường nghĩa đô,hà nội,"4,34",28.933
phường ngọc hà,hà nội,"2,67",35.032
phường nhiêu lộc,hồ chí minh,"1,71",51.515
phường ô chợ dừa,hà nội,"1,89",37.721
phường phú an,hồ chí minh,"35,19",1.334
phường phú diễn,hà nội,"6,29",11.861
phường phú định,hồ chí minh,"5,85",25.708
phường phú lâm,hồ chí minh,"2,00",43.757
phường phú lợi,hồ chí minh,"17,96",5.998
phường phú lương,hà nội,"9,40",5.534
phường phú mỹ,hồ chí minh,"70,92",1.109
phường phú nhuận,hồ chí minh,"1,46",46.863
phường phú thạnh,hồ chí minh,"2,99",34.709
phường phú thọ,hồ chí minh,"1,37",47.715
phường phú thọ hòa,hồ chí minh,"3,02",46.502
phường phú thuận,hồ chí minh,"10,55",7.971
phường phú thượng,hà nội,"7,20",5.461
phường phúc lợi,hà nội,"10,41",6.416
phường phước long,hồ chí minh,"9,23",14.879
phường phước thắng,hồ chí minh,"47,35",1.111
phường phương liệt,hà nội,"3,20",25.618
phường rạch dừa,hồ chí minh,"19,70",3.872
phường sài gòn,hồ chí minh,"3,04",15.468
phường sơn tây,hà nội,"23,08",3.089
phường tam bình,hồ chí minh,"10,71",14.324
phường tam long,hồ chí minh,"34,70",1.185
phường tam thắng,hồ chí minh,"11,76",7.349
phường tăng nhơn phú,hồ chí minh,"16,51",12.613
phường tân bình,hồ chí minh,"2,12",42.157
phường tân định,hồ chí minh,"1,23",39.45
phường tân đông hiệp,hồ chí minh,"21,45",4.673
phường tân hải,hồ chí minh,"51,86",584.0
phường tân hiệp,hồ chí minh,"47,06",3.028
phường tân hòa,hồ chí minh,"1,47",63.563
phường tân hưng,hồ chí minh,"8,54",17.995
phường tân khánh,hồ chí minh,"38,27",3.303
phường tân mỹ,hồ chí minh,"6,45",10.562
phường tân phú,hồ chí minh,"2,52",36.951
phường tân phước,hồ chí minh,"83,62",351.0
phường tân sơn,hồ chí minh,"10,12",7.631
phường tân sơn hòa,hồ chí minh,"2,62",24.485
phường tân sơn nhất,hồ chí minh,"3,19",26.533
phường tân sơn nhì,hồ chí minh,"3,46",33.895
phường tân tạo,hồ chí minh,"14,71",7.707
phường tân thành,hồ chí minh,"61,63",551.0
phường tân thới hiệp,hồ chí minh,"8,06",20.851
phường tân thuận,hồ chí minh,"10,16",14.576
phường tân uyên,hồ chí minh,"87,61",834.0
phường tây hồ,hà nội,"10,72",9.34
phường tây mỗ,hà nội,"5,56",8.434
phường tây nam,hồ chí minh,"119,80",474.0
phường tây thạnh,hồ chí minh,"3,95",18.384
phường tây tựu,hà nội,"7,54",5.23
phường thanh liệt,hà nội,"6,44",11.838
phường thạnh mỹ tây,hồ chí minh,"4,40",34.822
phường thanh xuân,hà nội,"3,24",32.814
phường thông tây hội,hồ chí minh,"3,24",37.405
phường thới an,hồ chí minh,"14,90",8.433
phường thới hòa,hồ chí minh,"37,93",2.099
phường thủ dầu một,hồ chí minh,"15,68",5.621
phường thủ đức,hồ chí minh,"8,81",13.502
phường thuận an,hồ chí minh,"16,11",4.015
phường thuận giao,hồ chí minh,"16,81",8.97
phường thượng cát,hà nội,"14,77",1.672
phường trung mỹ tây,hồ chí minh,"6,93",18.25
phường tùng thiện,hà nội,"32,34",1.3
phường từ liêm,hà nội,"10,18",11.788
phường tương mai,hà nội,"3,56",38.284
phường văn miếu - quốc tử giám,hà nội,"1,92",55.002
phường việt hưng,hà nội,"12,91",6.444
phường vĩnh hội,hồ chí minh,"1,17",53.859
phường vĩnh hưng,hà nội,"4,47",15.114
phường vĩnh tân,hồ chí minh,"61,35",1.008
phường vĩnh tuy,hà nội,"2,33",38.877
phường vũng tàu,hồ chí minh,"16,86",6.964
phường vườn lài,hồ chí minh,"1,28",81.309
phường xóm chiếu,hồ chí minh,"1,94",29.832
phường xuân đỉnh,hà nội,"5,46",8.912
phường xuân hòa,hồ chí minh,"2,22",21.831
phường xuân phương,hà nội,"10,81",9.708
phường yên hòa,hà nội,"4,10",18.788
phường yên nghĩa,hà nội,"13,18",3.767
phường yên sở,hà nội,"5,61",7.293
