locality,region,locality_square,locality_population_density,Dân số năm 2024/2025 (người)
phường an khánh,hồ chí minh,"15,33",5.021,76.967
phường an lạc,hồ chí minh,"10,47",16.441,172.134
phường an nhơn,hồ chí minh,"3,23",34.520,111.498
phường an phú,hồ chí minh,"16,85",9.669,162.930
phường an phú đông,hồ chí minh,"14,59",12.277,179.115
phường ba đình,hà nội,"2,97",21.893,65.023
phường bà rịa,hồ chí minh,"15,55",3.361,52.265
phường bạch mai,hà nội,"2,95",43.922,129.571
phường bàn cờ,hồ chí minh,"0,99",68.299,67.616
phường bảy hiền,hồ chí minh,"2,86",46.242,132.252
phường bến cát,hồ chí minh,"100,89",971,97.928
phường bến thành,hồ chí minh,"1,85",38.809,71.875
phường bình cơ,hồ chí minh,"73,69",877,64.601
phường bình dương,hồ chí minh,"58,16",1.850,107.576
phường bình đông,hồ chí minh,"8,93",17.419,155.555
phường bình hòa,hồ chí minh,"18,49",6.492,120.035
phường bình hưng hòa,hồ chí minh,"8,47",22.190,187.950
phường bình lợi trung,hồ chí minh,"3,89",29.851,116.121
phường bình phú,hồ chí minh,"2,85",26.640,75.925
phường bình quới,hồ chí minh,"6,34",7.287,46.200
phường bình tân,hồ chí minh,"11,25",14.387,161.851
phường bình tây,hồ chí minh,"1,05",60.279,63.293
phường bình thạnh,hồ chí minh,"3,32",38.042,126.300
phường bình thới,hồ chí minh,"1,52",44.393,76.478
phường bình tiên,hồ chí minh,"1,61",56.845,91.520
phường bình trị đông,hồ chí minh,"7,15",23.097,165.142
phường bình trưng,hồ chí minh,"14,82",8.190,121.382
phường bồ đề,hà nội,"12,94",9.276,120.028
phường cát lái,hồ chí minh,"19,65",3.494,68.654
phường cầu giấy,hà nội,"3,74",19.924,74.516
phường cầu kiệu,hồ chí minh,"1,23",50.946,62.663
phường cầu ông lãnh,hồ chí minh,"1,60",49.209,78.734
phường chánh hiệp,hồ chí minh,"19,66",2.868,56.387
phường chánh hưng,hồ chí minh,"4,61",41.368,190.707
phường chánh phú hòa,hồ chí minh,"69,54",775,53.916
phường chợ lớn,hồ chí minh,"1,67",50.938,85.066
phường chợ quán,hồ chí minh,"1,28",49.645,63.545
phường chương mỹ,hà nội,"38,92",2.259,87.913
phường cửa nam,hà nội,"1,68",31.399,52.751
phường dĩ an,hồ chí minh,"21,36",10.666,227.817
phường diên hồng,hồ chí minh,"1,86",40.663,75.633
phường dương nội,hà nội,"7,90",7.100,56.091
phường đại mỗ,hà nội,"8,10",9.934,80.462
phường định công,hà nội,"5,34",16.012,85.502
phường đống đa,hà nội,"2,07",39.303,81.358
phường đông hòa,hồ chí minh,"21,89",6.033,132.056
phường đông hưng thuận,hồ chí minh,"8,26",22.142,182.895
phường đông ngạc,hà nội,"8,85",9.440,83.544
phường đức nhuận,hồ chí minh,"2,17",32.947,71.495
phường gia định,hồ chí minh,"2,76",45.633,125.946
phường giảng võ,hà nội,"2,60",37.321,97.034
phường gò vấp,hồ chí minh,"2,81",39.448,110.850
phường hà đông,hà nội,"9,00",20.578,185.205
phường hai bà trưng,hà nội,"2,65",33.132,87.801
phường hạnh thông,hồ chí minh,"3,37",38.239,128.865
phường hiệp bình,hồ chí minh,"16,01",13.469,215.638
phường hòa bình,hồ chí minh,"0,98",70.733,69.318
phường hòa hưng,hồ chí minh,"2,59",37.225,96.414
phường hòa lợi,hồ chí minh,"33,59",2.373,79.694
phường hoàn kiếm,hà nội,"1,91",55.131,105.301
phường hoàng liệt,hà nội,"4,04",13.817,55.820
phường hoàng mai,hà nội,"9,04",10.896,98.502
phường hồng hà,hà nội,"15,09",8.170,123.282
phường khánh hội,hồ chí minh,"1,07",88.324,94.507
phường khương đình,hà nội,"3,10",27.834,86.286
phường kiến hưng,hà nội,"6,65",10.652,70.833
phường kim liên,hà nội,"2,45",44.533,109.107
phường lái thiêu,hồ chí minh,"15,46",7.688,118.852
phường láng,hà nội,"1,88",32.519,61.135
phường lĩnh nam,hà nội,"10,86",1.907,20.706
