iter	RMSE
285	0.21743748
286	0.2170955368
287	0.2168547135
288	0.216585751
289	0.2163710697
290	0.2162026149
291	0.2160068212
292	0.2157461445
293	0.2153679015
294	0.2151042111
295	0.2148694198
296	0.2146208806
297	0.2145296409
298	0.2143186146
299	0.2139903491
300	0.2137953917
301	0.2135368442
302	0.2134773357
303	0.2132265836
304	0.2129966058
305	0.2126810824
306	0.212647647
307	0.2123016754
308	0.2122589848
309	0.2119922238
310	0.2117586727
311	0.2115086788
312	0.2112288244
313	0.2109874172
314	0.2107863469
315	0.2105737743
316	0.2102523016
317	0.210023316
318	0.2098174843
319	0.2097366008
320	0.2096540167
321	0.209627695
322	0.2094229701
323	0.2091670431
324	0.2090954225
325	0.2090568431
326	0.2090166821
327	0.2087435468
328	0.2085407996
329	0.2083451975
330	0.2082747987
331	0.208214157
332	0.2080616234
333	0.2076307739
334	0.2073713178
335	0.2072614438
336	0.2071580216
337	0.2068301182
338	0.2068031124
339	0.2067370002
340	0.2066719688
341	0.206398963
342	0.2060573339
343	0.2060057883
344	0.2059201967
345	0.2056695936
346	0.205498193
347	0.2053897108
348	0.2050810946
349	0.2049021798
350	0.2046378739
351	0.2046041836
352	0.2045426208
353	0.2045044119
354	0.2043532875
355	0.2043070313
356	0.2042762543
357	0.2042287613
358	0.2039209936
359	0.2038075021
360	0.2037114905
361	0.2036009266
362	0.2032739473
363	0.2030674371
364	0.2026632045
365	0.2025737495
366	0.2023219138
367	0.2021177205
368	0.2018584144
369	0.2014500185
370	0.2012018369
371	0.200987391
372	0.2009138022
373	0.2006061931
374	0.2002201063
375	0.1998832904
376	0.1996824933
377	0.1994007818
378	0.1993670932
379	0.1991791314
380	0.1988528472
381	0.1985881144
382	0.1984091453
383	0.1980040552
384	0.197958048
385	0.1977461326
386	0.197556821
387	0.1973625238
388	0.1973364561
389	0.1970336637
390	0.1968333726
391	0.1967465911
392	0.1964094503
393	0.19617494
394	0.1959882963
395	0.1957580985
396	0.1955818762
397	0.1954006703
398	0.1953456179
399	0.1951317523
400	0.1947871788
401	0.1944107355
402	0.1941722903
403	0.1940422593
404	0.193755376
405	0.1934377104
406	0.1932548832
407	0.1929643658
408	0.1928796341
409	0.1927212527
410	0.192531489
411	0.1923143689
412	0.1921088424
413	0.1918411484
414	0.1917520022
415	0.1917336852
416	0.1913473264
417	0.191060891
418	0.1908340127
419	0.1906172657
420	0.19034545
421	0.1901213532
422	0.1897605565
423	0.1896663521
424	0.1896470822
425	0.1894867998
426	0.1891972582
427	0.1887624177
428	0.1885598863
429	0.1881414357
430	0.1880795971
431	0.1878210643
432	0.1874122256
433	0.1870935773
434	0.1869158857
435	0.1866147603
436	0.1863260543
437	0.1861584544
438	0.1858157483
439	0.1854353333
440	0.185218771
441	0.185022859
442	0.1847558693
443	0.1844400764
444	0.1842387213
445	0.1840206256
446	0.1836943961
447	0.1834512964
448	0.1832318422
449	0.1829774277
450	0.1829144141
451	0.1826588728
452	0.1824620615
453	0.1821620022
454	0.1819026959
455	0.1816466511
456	0.1813298922
457	0.1811909663
458	0.1811684833
459	0.1808810602
460	0.1807094917
461	0.1805153225
462	0.1803067899
463	0.1802001466
464	0.1799234259
465	0.1797173199
466	0.1795267048
467	0.1793083302
468	0.1791085496
469	0.1789610866
470	0.1789067474
471	0.1788881389
472	0.17864921
473	0.1784253858
474	0.1780949401
475	0.1778547679
476	0.1777202694
477	0.1775588238
478	0.1773802234
479	0.17718125
480	0.1771162978
481	0.176974649
482	0.1767895372
483	0.1765251251
484	0.1764881008
485	0.1763247918
486	0.1760737691
487	0.1758757077
488	0.1756175306
489	0.1753553437
490	0.1751655824
491	0.1748538555
492	0.1746596738
493	0.1744816974
494	0.1743780888
495	0.1741549288
496	0.1740027923
497	0.1739838027
498	0.1737374905
499	0.1734833746
