model,lr,depth,n_est,alpha,lambda,mape,subsample,iterations
xgb,0.03,8,1200.0,,,19.766285426826357,0.7,
xgb,0.03,9,1200.0,,,19.76695559651355,0.8,
xgb,0.02,7,1500.0,,,19.769140740061317,0.8,
xgb,0.04,7,1500.0,,,19.770949492361847,0.8,
xgb,0.02,7,1500.0,,,19.771169196787305,0.7,
xgb,0.04,8,1000.0,,,19.774087301637238,0.9,
xgb,0.05,7,1000.0,,,19.775757788518707,0.9,
xgb,0.03,8,1000.0,,,19.77599260294418,0.8,
xgb,0.04,9,1800.0,,,19.781747947045062,0.7,
xgb,0.03,6,1800.0,,,19.78176521874445,0.9,
catboost,0.07,8,,,,19.78388847200869,,1200.0
catboost,0.07,8,,,,19.78388847200869,,1800.0
catboost,0.07,8,,,,19.78388847200869,,1500.0
xgb,0.04,9,1200.0,,,19.785472742620776,0.7,
xgb,0.02,10,1800.0,,,19.785731913896804,0.9,
xgb,0.03,9,1000.0,,,19.786056040690923,0.8,
xgb,0.06,7,1000.0,,,19.786285594563836,0.9,
xgb,0.04,9,1500.0,,,19.78668365289581,0.7,
xgb,0.05,6,1200.0,,,19.78852442427185,0.7,
xgb,0.04,8,1800.0,,,19.78917402791109,0.8,
xgb,0.03,8,1000.0,,,19.79013049870551,0.7,
xgb,0.02,10,1500.0,,,19.790973871204606,0.9,
xgb,0.04,9,1000.0,,,19.7925102314671,0.7,
xgb,0.04,7,1000.0,,,19.792555645889763,0.9,
xgb,0.05,7,1800.0,,,19.793033206073936,0.7,
xgb,0.03,9,1800.0,,,19.793389160173085,0.7,
xgb,0.05,9,1500.0,,,19.794562744737323,0.9,
xgb,0.04,8,1500.0,,,19.7952732883613,0.8,
xgb,0.02,9,1000.0,,,19.795740521364795,0.7,
xgb,0.05,9,1800.0,,,19.795828383337867,0.9,
xgb,0.06,6,1000.0,,,19.796630012119312,0.9,
xgb,0.05,9,1200.0,,,19.797669403040207,0.9,
xgb,0.05,7,1500.0,,,19.801099051420863,0.7,
xgb,0.03,9,1500.0,,,19.802045900653287,0.7,
xgb,0.05,9,1000.0,,,19.802404444939285,0.9,
xgb,0.03,6,1200.0,,,19.804693466200867,0.7,
xgb,0.02,10,1200.0,,,19.806336046508623,0.9,
xgb,0.04,6,1800.0,,,19.810646459519823,0.8,
xgb,0.04,8,1200.0,,,19.81296586479183,0.8,
xgb,0.04,10,1500.0,,,19.814290981217162,0.7,
xgb,0.05,8,1800.0,,,19.814751803411767,0.9,
xgb,0.04,10,1800.0,,,19.814762557461826,0.7,
xgb,0.04,10,1200.0,,,19.815933316494725,0.7,
xgb,0.03,9,1200.0,,,19.81651813994665,0.7,
xgb,0.05,8,1500.0,,,19.816620861950007,0.9,
xgb,0.04,6,1800.0,,,19.81753593982536,0.9,
xgb,0.04,9,1500.0,,,19.820183160883328,0.9,
xgb,0.04,9,1800.0,,,19.820709077499853,0.9,
xgb,0.05,8,1200.0,,,19.820929813087172,0.9,
xgb,0.03,6,1200.0,,,19.820942209373786,0.8,
xgb,0.04,10,1000.0,,,19.82178425383796,0.7,
xgb,0.04,9,1200.0,,,19.824138954494895,0.9,
xgb,0.04,7,1200.0,,,19.824469981864063,0.8,
xgb,0.03,7,1000.0,,,19.826104855490918,0.8,
xgb,0.05,8,1000.0,,,19.82845594613648,0.9,
xgb,0.03,7,1200.0,,,19.82871317314851,0.9,
xgb,0.02,10,1000.0,,,19.828934460672283,0.9,
xgb,0.04,8,1000.0,,,19.832739930041875,0.8,
xgb,0.04,7,1800.0,,,19.83423609239672,0.7,
xgb,0.04,9,1000.0,,,19.83450537664231,0.9,
xgb,0.02,6,1800.0,,,19.834537600309936,0.7,
catboost,0.04,10,,,,19.83626553337106,,1000.0
xgb,0.03,9,1000.0,,,19.837879924846185,0.7,
xgb,0.05,7,1200.0,,,19.838207307001674,0.7,
xgb,0.05,6,1800.0,,,19.840589692918993,0.8,
xgb,0.06,7,1800.0,,,19.841348223734915,0.8,
xgb,0.02,7,1800.0,,,19.841450027691522,0.9,
xgb,0.04,6,1800.0,,,19.84656971567073,0.7,
xgb,0.05,6,1000.0,,,19.847292001951512,0.7,
xgb,0.02,8,1000.0,,,19.849092507700796,0.9,
xgb,0.05,7,1800.0,,,19.84950072584334,0.8,
xgb,0.04,7,1500.0,,,19.84984038209975,0.7,
xgb,0.06,7,1500.0,,,19.852275420352996,0.8,
catboost,0.07,8,,,,19.8541949133518,,1000.0
catboost,0.06,9,,,,19.85586632403512,,1800.0
catboost,0.06,9,,,,19.85586632403512,,1200.0
catboost,0.06,9,,,,19.85586632403512,,1500.0
xgb,0.02,7,1200.0,,,19.855918582720953,0.7,
xgb,0.04,7,1000.0,,,19.85842031162262,0.8,
xgb,0.05,7,1500.0,,,19.86011168415342,0.8,
catboost,0.04,9,,,,19.862691966536623,,1500.0
catboost,0.04,9,,,,19.862691966536623,,1800.0
catboost,0.03,10,,,,19.8629492320109,,1200.0
xgb,0.04,6,1500.0,,,19.86422748934085,0.9,
xgb,0.05,6,1500.0,,,19.867507951403894,0.8,
catboost,0.05,10,,,,19.868628485093982,,1800.0
catboost,0.05,10,,,,19.868628485093982,,1200.0
catboost,0.05,10,,,,19.868628485093982,,1500.0
xgb,0.06,7,1500.0,,,19.874927456467482,0.7,
xgb,0.06,7,1200.0,,,19.875909703409736,0.7,
xgb,0.04,7,1200.0,,,19.876211270487158,0.7,
xgb,0.03,6,1500.0,,,19.879509639221247,0.9,
xgb,0.06,6,1800.0,,,19.88096090375166,0.8,
xgb,0.05,7,1000.0,,,19.88106236443638,0.7,
xgb,0.06,7,1800.0,,,19.881182989990936,0.7,
xgb,0.06,7,1200.0,,,19.881490825039098,0.8,
xgb,0.05,9,1200.0,,,19.882104099602934,0.7,
xgb,0.02,7,1200.0,,,19.883187011314348,0.8,
xgb,0.05,9,1800.0,,,19.883228200900657,0.7,
xgb,0.05,9,1500.0,,,19.884206042309803,0.7,
xgb,0.05,8,1500.0,,,19.884388052769765,0.8,
xgb,0.05,8,1200.0,,,19.88512801570356,0.8,
xgb,0.04,6,1500.0,,,19.885399084709288,0.8,
xgb,0.05,8,1800.0,,,19.885602005827423,0.8,
xgb,0.06,7,1000.0,,,19.885969252217233,0.7,
xgb,0.05,9,1000.0,,,19.88910018829684,0.7,
xgb,0.05,6,1200.0,,,19.88921267101633,0.8,
xgb,0.05,8,1000.0,,,19.889985263876593,0.8,
xgb,0.06,7,1000.0,,,19.891715796809724,0.8,
xgb,0.06,8,1800.0,,,19.894522373544422,0.9,
xgb,0.06,8,1500.0,,,19.89468698985787,0.9,
xgb,0.06,8,1200.0,,,19.895582366482813,0.9,
xgb,0.03,7,1000.0,,,19.899602200002057,0.9,
xgb,0.06,8,1000.0,,,19.900273917770203,0.9,
xgb,0.03,10,1800.0,,,19.90072903382611,0.8,
xgb,0.05,7,1200.0,,,19.900992502475358,0.8,
xgb,0.03,10,1500.0,,,19.90147835193847,0.8,
xgb,0.04,7,1000.0,,,19.901919558165616,0.7,
xgb,0.06,6,1500.0,,,19.903797679599105,0.8,
xgb,0.06,6,1200.0,,,19.904399361469032,0.8,
catboost,0.05,9,,,,19.9045288266682,,1000.0
xgb,0.04,6,1500.0,,,19.905289536768738,0.7,
xgb,0.03,10,1200.0,,,19.90740720055067,0.8,
xgb,0.03,6,1000.0,,,19.910802201643563,0.7,
catboost,0.06,10,,,,19.9119465881732,,1800.0
catboost,0.06,10,,,,19.9119465881732,,1200.0
catboost,0.06,10,,,,19.9119465881732,,1000.0
catboost,0.06,10,,,,19.9119465881732,,1500.0
xgb,0.03,10,1000.0,,,19.912849818997238,0.8,
catboost,0.03,9,,,,19.91322807001237,,1800.0
catboost,0.04,9,,,,19.914661240141267,,1200.0
catboost,0.05,10,,,,19.92114796449149,,1000.0
xgb,0.06,6,1000.0,,,19.922325776566353,0.8,
xgb,0.02,6,1500.0,,,19.926134398008145,0.7,
xgb,0.02,7,1500.0,,,19.927106418619086,0.9,
xgb,0.05,7,1000.0,,,19.928136011872205,0.8,
xgb,0.06,9,1200.0,,,19.928276025608398,0.7,
xgb,0.06,9,1000.0,,,19.92988503000831,0.7,
xgb,0.03,6,1200.0,,,19.930913466882544,0.9,
xgb,0.06,9,1800.0,,,19.932554138647042,0.7,
xgb,0.06,9,1500.0,,,19.93304032633293,0.7,
catboost,0.04,8,,,,19.934881301833688,,1500.0
catboost,0.04,8,,,,19.934881301833688,,1800.0
xgb,0.03,10,1800.0,,,19.936129430983843,0.9,
xgb,0.03,10,1500.0,,,19.937814382194887,0.9,
catboost,0.06,9,,,,19.938152457779154,,1000.0
