street,locality,region,old_address,lat,lon,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
đường trường chinh,phường bảy hiền,hồ chí minh,"Đường Trường Chinh, Phường 12, Quận Tân Bình, Hồ Chí Minh (cũ)",10.7931438,106.6517919,0.1473476096176288,150.0,0.2979988637951992,66.0,0.497850949494493,20.0,0.8996613450039174,33.0,0.8561505937261217,4.0,0.0868121430323918,35.0,,0.0
đường nguyễn cửu vân,phường gia định,hồ chí minh,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Hồ Chí Minh (cũ)",10.7947837,106.7093255,0.1711869088091718,99.0,1.4231773041651654,47.0,0.3601758043190207,17.0,0.3160654149244814,56.0,2.343508123557825,12.0,0.0265506988051478,43.0,0.6903391017798891,7.0
đường lê văn quới,phường bình trị đông,hồ chí minh,"Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh (cũ)",10.7679017,106.6095921,0.1202792003391393,62.0,0.7940570555249221,15.0,0.5785627489676628,14.0,0.4205129244284443,25.0,2.799053811152463,1.0,0.0417572740637905,37.0,,0.0
đường ngô quang huy,phường an khánh,hồ chí minh,"Đường Ngô Quang Huy, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.8006036,106.7319048,0.5430295033161631,59.0,0.7572913850350793,20.0,0.4476952435649097,11.0,0.1593040851421719,32.0,0.1509150708276662,4.0,0.0,36.0,0.191421204297892,10.0
đường nguyễn trãi,phường cầu ông lãnh,hồ chí minh,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh (cũ)",10.7607239,106.6855219,0.3459743034941879,179.0,0.0153283944002021,91.0,0.5085132998948451,47.0,0.339885480764521,99.0,0.5212950285564317,20.0,0.106431556512389,75.0,1.7626609538487792,3.0
đường trương định,phường xuân hòa,hồ chí minh,"Đường Trương Định, Phường Xuân Hòa, Quận 3, Hồ Chí Minh (cũ)",10.8735232,106.8022064,0.3867559783659853,22.0,0.8596362622296551,10.0,0.7769995593581263,3.0,0.6430771394949081,2.0,2.6711640930473792,1.0,0.0144011546050566,37.0,0.8066791793236514,4.0
đường hồng bàng,phường bình tây,hồ chí minh,"Đường Hồng Bàng, Phường 5, Quận 6, Hồ Chí Minh (cũ)",10.7508655,106.6530793,0.1924197960283857,182.0,0.8182903068587544,67.0,0.2140813915979963,43.0,0.7484065514244114,26.0,0.4514295837049246,6.0,0.0578438960653726,63.0,,0.0
đường ngô quyền,phường diên hồng,hồ chí minh,"Đường Ngô Quyền, Phường 8, Quận 10, Hồ Chí Minh (cũ)",10.7578236,106.6659089,0.0955705753485068,206.0,0.1150888925261856,81.0,0.6282825210251768,52.0,0.4252140092931471,51.0,0.3993011928725213,11.0,0.1348810061078803,90.0,3.78649852564279,2.0
đường dương tử giang,phường minh phụng,hồ chí minh,"Đường Dương Tử Giang, Phường 7, Quận 11, Hồ Chí Minh (cũ)",10.7578888,106.6544521,0.3204995810511588,207.0,0.5868423168400075,76.0,0.3265487813943404,56.0,0.799803845128039,30.0,0.4132707628110579,5.0,0.0904268144777127,79.0,4.964989669818176,1.0
đường nguyễn trãi,phường chợ quán,hồ chí minh,"Đường Nguyễn Trãi, Phường 2, Quận 5, Hồ Chí Minh (cũ)",10.7546957,106.6849182,0.3241044718172312,169.0,0.3112080841955486,82.0,0.159361009708267,44.0,0.7452963371051138,87.0,1.0997159326303276,20.0,0.1351310290030301,57.0,2.2897201696442395,3.0
đường nguyễn trãi,phường an đông,hồ chí minh,"Đường Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh (cũ)",10.7549797,106.6715062,0.3348518767934108,185.0,0.1206216999491234,82.0,0.3535785015118317,47.0,0.3702015098094646,64.0,0.3730010744757793,12.0,0.1300514843720099,91.0,3.382741978802192,3.0
đường lý thường kiệt,phường hạnh thông,hồ chí minh,"Đường Lý Thường Kiệt, Phường Hạnh Thông, Quận Gò Vấp, Hồ Chí Minh (cũ)",10.8237753,106.6849915,0.1755650750818743,64.0,0.5239478647461463,29.0,0.2455413210050974,9.0,0.5342557500688416,21.0,0.5562563546935235,7.0,0.1171643981009367,51.0,4.531780440683517,1.0
