,STT,Tên,Thuộc tỉnh/thành phố,Diện tích (km²),Dân số năm 2024 (người),Mật độ dân số (người/km²),Loại đô thị [ 2 ] (năm công nhận),Năm thành lập
74,75,Bình Lộc,Đồng Nai,"77,21",36.195,469,III (2026),2025
75,76,Bình Lợi Trung,Thành phố Hồ Chí Minh,"3,89",116.121,29.851,II (2026),2025
76,77,Bình Minh,Tây Ninh,"105,35",55.010,522,III (2026),2025
77,78,Bình Minh,Vĩnh Long,"23,86",34.193,1.433,II (2026),2025
78,79,Bình Phú,Thành phố Hồ Chí Minh,"2,85",75.925,26.640,II (2026),2025
79,80,Bình Phước,Đồng Nai,"86,38",111.440,1.290,II (2026),2025
80,81,Bình Quới,Thành phố Hồ Chí Minh,"6,34",46.200,7.287,II (2026),2025
81,82,Bình Tân,Thành phố Hồ Chí Minh,"11,25",161.851,14.387,II (2026),2025
82,83,Bình Tây,Thành phố Hồ Chí Minh,"1,05",63.293,60.279,II (2026),2025
83,84,Bình Thạnh,Thành phố Hồ Chí Minh,"3,32",126.300,38.042,II (2026),2025
84,85,Bình Thới,Thành phố Hồ Chí Minh,"1,52",76.478,44.393,II (2026),2025
85,86,Bình Thuận,Lâm Đồng,"45,16",47.858,1.060,III (2026),2025
86,87,Bình Thuận,Tuyên Quang,"46,34",18.626,402,III (2026),2025
87,88,Bình Thủy,Cần Thơ,"15,17",62.483,4.119,II (2026),2025
88,89,Bình Tiên,Thành phố Hồ Chí Minh,"1,61",91.520,56.845,II (2026),2025
89,90,Bình Trị Đông,Thành phố Hồ Chí Minh,"7,15",165.142,23.097,II (2026),2025
90,91,Bình Trưng,Thành phố Hồ Chí Minh,"14,82",121.382,8.190,II (2026),2025
91,92,Bình Xuân,Đồng Tháp,"34,42",32.574,946,II (2026),2025
92,93,Bồ Đề,Hà Nội,"12,94",120.028,9.276,II (2026),2025
93,94,Bồng Lai,Bắc Ninh,"19,76",25.375,1.284,III (2026),2025
94,95,Bồng Sơn,Gia Lai,"81,11",41.435,511,III (2026),2025
95,96,Buôn Hồ,Đắk Lắk,"66,54",62.780,943,III (2026),2025
96,97,Buôn Ma Thuột,Đắk Lắk,"71,99",169.596,2.356,III (2026),2025
97,98,Cái Khế,Cần Thơ,"10,04",57.688,5.746,II (2026),2025
98,99,Cai Lậy,Đồng Tháp,"25,52",34.117,1.337,II (2026),2025
99,100,Cái Răng,Cần Thơ,"26,88",71.106,2.645,II (2026),2025
100,101,Cái Vồn,Vĩnh Long,"26,52",36.031,1.359,II (2026),2025
101,102,Cam Đường,Lào Cai,"59,90",67.877,1.133,III (2026),2025
102,103,Cam Linh,Khánh Hòa,"4,83",33.052,6.843,II (2026),2025
103,104,Cam Ly - Đà Lạt,Lâm Đồng,"80,92",48.919,605,III (2026),2025
104,105,Cam Ranh,Khánh Hòa,"17,51",31.237,1.784,II (2026),2025
105,106,Cảnh Thụy,Bắc Ninh,"27,73",26.928,971,III (2026),2025
106,107,Cao Lãnh,Đồng Tháp,"73,33",137.387,1.874,III (2026),2025
107,108,Cao Xanh,Quảng Ninh,"38,89",23.809,612,II (2026),2025
108,109,Cát Lái,Thành phố Hồ Chí Minh,"19,65",68.654,3.494,II (2026),2025
109,110,Cẩm Lệ,Đà Nẵng,"14,05",78.837,5.611,II (2026),2025
110,111,Cẩm Phả,Quảng Ninh,"17,52",61.506,3.511,II (2026),2025
111,112,Cẩm Thành,Quảng Ngãi,"7,93",60.996,7.692,II (2026),2025
112,113,Cầu Giấy,Hà Nội,"3,74",74.516,19.924,II (2026),2025
113,114,Cầu Kiệu,Thành phố Hồ Chí Minh,"1,23",62.663,50.946,II (2026),2025
114,115,Cầu Ông Lãnh,Thành phố Hồ Chí Minh,"1,60",78.734,49.209,II (2026),2025
115,116,Cầu Thia,Lào Cai,"31,84",25.234,793,III (2026),2025
116,117,Chánh Hiệp,Thành phố Hồ Chí Minh,"19,66",56.387,2.868,II (2026),2025
117,118,Chánh Hưng,Thành phố Hồ Chí Minh,"4,61",190.707,41.368,II (2026),2025
118,119,Chánh Phú Hòa,Thành phố Hồ Chí Minh,"69,54",53.916,775,II (2026),2025
119,120,Châu Đốc,An Giang,"41,32",97.438,2.358,III (2026),2025
120,121,Châu Sơn,Ninh Bình,"17,45",33.348,1.911,II (2026),2025
121,122,Chi Lăng,An Giang,"51,17",28.401,555,III (2026),2025
122,123,Chí Linh,Hải Phòng,"26,79",31.983,1.194,II (2026),2025
123,124,Chiềng An,Sơn La,"149,08",20.322,136,III (2026),2025
124,125,Chiềng Cơi,Sơn La,"93,56",22.694,243,III (2026),2025
125,126,Chiềng Sinh,Sơn La,"68,40",27.099,396,III (2026),2025
126,127,Chợ Lớn,Thành phố Hồ Chí Minh,"1,67",85.066,50.938,II (2026),2025
127,128,Chợ Quán,Thành phố Hồ Chí Minh,"1,28",63.545,49.645,II (2026),2025
128,129,Chơn Thành,Đồng Nai,"124,41",41.500,334,III (2026),2025
129,130,Chũ,Bắc Ninh,"69,16",58.409,845,III (2026),2025
130,131,Chu Văn An,Hải Phòng,"40,90",56.171,1.373,II (2026),2025
131,132,Chương Mỹ,Hà Nội,"38,92",87.913,2.259,III (2026),2025
132,133,Cư Bao,Đắk Lắk,"104,94",36.911,352,III (2026),2025
133,134,Cửa Lò,Nghệ An,"29,09",64.760,2.226,II (2026),2025
134,135,Cửa Nam,Hà Nội,"1,68",52.751,31.399,II (2026),2025
135,136,Cửa Ông,Quảng Ninh,"41,07",66.504,1.619,II (2026),2025
136,137,Dầu Giây,Đồng Nai,"98,87",71.921,727,,2026
137,138,Dĩ An,Thành phố Hồ Chí Minh,"21,36",227.817,10.666,II (2026),2025
138,139,Diên Hồng,Gia Lai,"26,71",63.378,2.373,III (2026),2025
139,140,Diên Hồng,Thành phố Hồ Chí Minh,"1,86",75.633,40.663,II (2026),2025
140,141,Dương Kinh,Hải Phòng,"27,96",27.339,978,II (2026),2025
141,142,Dương Nỗ,Huế,"20,63",31.692,1.536,II (2026),2025
142,143,Dương Nội,Hà Nội,"7,90",56.091,7.100,III (2026),2025
143,144,Duy Hà,Ninh Bình,"15,46",24.310,1.572,III (2026),2025
144,145,Duy Tân,Ninh Bình,"28,86",28.299,981,III (2026),2025
145,146,Duy Tiên,Ninh Bình,"28,93",39.957,1.381,III (2026),2025
146,147,Duyên Hải,Vĩnh Long,"69,63",24.356,350,III (2026),2025
147,148,Đa Mai,Bắc Ninh,"33,10",51.733,1.563,III (2026),2025
148,149,Đại Mỗ,Hà Nội,"8,10",80.462,9.934,II (2026),2025
149,150,Đại Thành,Cần Thơ,"53,00",34.594,653,II (2026),2025
150,151,Đào Duy Từ,Thanh Hóa,"42,86",26.206,611,III (2026),2025
151,152,Đạo Thạnh,Đồng Tháp,"14,28",73.370,5.138,III (2026),2025
152,153,Đào Viên,Bắc Ninh,"26,63",34.724,1.304,III (2026),2025
153,154,Đăk Bla,Quảng Ngãi,"14,99",21.816,1.455,II (2026),2025
154,155,Đăk Cấm,Quảng Ngãi,"66,33",29.799,449,III (2026),2025
155,156,Điện Bàn,Đà Nẵng,"19,78",41.270,2.086,III (2026),2025
156,157,Điện Bàn Bắc,Đà Nẵng,"36,39",30.780,846,III (2026),2025
157,158,Điện Bàn Đông,Đà Nẵng,"61,02",72.273,1.184,III (2026),2025
158,159,Điện Biên Phủ,Điện Biên,"56,75",49.205,867,II (2026),2025
159,160,Định Công,Hà Nội,"5,34",85.502,16.012,III (2026),2025
160,161,Đoàn Kết,Lai Châu,"134,31",25.403,189,II (2026),2025
161,162,Đồ Sơn,Hải Phòng,"25,54",36.494,1.429,II (2026),2025
162,163,Đô Vinh,Khánh Hòa,"61,96",33.207,536,III (2026),2025
163,164,Đông A,Ninh Bình,"22,07",31.802,1.441,III (2026),2025
164,165,Đống Đa,Hà Nội,"2,07",81.358,39.303,II (2026),2025
165,166,Đông Gia Nghĩa,Lâm Đồng,"105,78",24.199,229,II (2026),2025
166,167,Đông Hà,Quảng Trị,"38,04",50.915,1.338,II (2026),2025
