link,title,post_day,price,street,locality,region,area,old_address
https://alonhadat.com.vn/6-6-ty-lo-goc-3-thoang-thong-tu-phia-ba-gac-phi-dt-25m2-4t-dan-xay-ctl--18505542.html,"6,6 tỷ - Lô góc 3 thoáng, thông tứ phía, ba gác phi, DT 25m2*4T dân xây (CTL)",2026-06-10,"Giá: 6,6 tỷ",Đường Hoàng Hoa Thám,Phường Ngọc Hà,Hà Nội,25 m²,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội (cũ)"
https://alonhadat.com.vn/6-7-ty-dang-van-ngu-lo-goc-ba-gac-phi-vai-chuc-met-ra-o-to-dt-25m2-mt-3-4m-khong-qh-17588975.html,"6,7 tỷ Đặng Văn Ngữ – Lô góc, ba gác phi, vài chục mét ra ô tô, DT 25m2, MT 3,4m, không qh",2026-06-10,"Giá: 6,7 tỷ",Phố Đặng Văn Ngữ,Phường Kim Liên,Hà Nội,25 m²,"Phố Đặng Văn Ngữ, Phường Kim Liên, Quận Đống Đa, Hà Nội (cũ)"
https://alonhadat.com.vn/ba-gac-phi-2-mat-ngo-truoc-sau-50m-ra-o-to-do-dt-25m2-4t-mt-4-6m-chao-6-6-ty-18177046.html,"Ba gác phi, 2 mặt ngõ trước sau, 50m ra ô tô đỗ, DT 25m2*4T, MT 4,6m, chào 6,6 tỷ",2026-06-10,"Giá: 6,6 tỷ",Đường Hoàng Hoa Thám,Phường Tây Hồ,Hà Nội,25 m²,"Đường Hoàng Hoa Thám, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội (cũ)"
https://alonhadat.com.vn/mat-ngo-ba-gac-phi-40m-ra-mp-dt-40m2-mt-6m-8-8-ty-vai-buoc-ra-lang-bac-qh-on-din-18142114.html,"Mặt ngõ ba gác phi, 40m ra MP, DT 40m2, MT 6m, 8,8 tỷ, vài bước ra Lăng Bác, QH ổn địn",2026-06-10,"Giá: 8,8 tỷ",Phố Đội cấn,Phường Ngọc Hà,Hà Nội,40 m²,"Phố Đội cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội (cũ)"
https://alonhadat.com.vn/8-6-ty-ba-dinh-15m-ra-o-to-dt-40m2-6t-thang-may-mt-5-5m-ba-gac-phi-thong-vong-quanh-18146176.html,"8,6 tỷ Ba Đình 15m ra ô tô, DT 40m2 *6T thang máy, MT 5,5m, ba gác phi thông vòng quanh",2026-06-10,"Giá: 8,6 tỷ",Đường Kim Mã,Phường Ngọc Hà,Hà Nội,40 m²,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội (cũ)"
https://alonhadat.com.vn/8-55-ty-o-to-do-cua-ngo-thong-tu-phia-dt-40m2-6t-thang-may-mt-4m-qh-on-dinh-18321918.html,"8,55 tỷ - Ô tô đỗ cửa, ngõ thông tứ phía, DT 40m2*6T thang máy, MT ~4m, QH ổn định",2026-06-10,"Giá: 8,55 tỷ",Đường Định Công Thượng,Phường Định Công,Hà Nội,40 m²,"Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội (cũ)"
