,RMSE,MAE,R²,MAPE
LightGBM,4400807486.146123,2773321548.3833094,0.8641791743237532,18.756365120107247
XGBoost,4365589991.481907,2670453097.675132,0.8663442906778942,18.008707884002174
CatBoost,4579854179.669578,2904401398.561653,0.8529026239224953,19.52213299007621
